iter	Passed	Remaining
898	2555	287
899	2558	284
900	2560	281
901	2563	278
902	2566	275
903	2568	272
904	2571	269
905	2574	267
906	2577	264
907	2579	261
908	2582	258
909	2585	255
910	2587	252
911	2590	249
912	2593	247
913	2595	244
914	2598	241
915	2601	238
916	2603	235
917	2606	232
918	2609	229
919	2611	227
920	2614	224
921	2617	221
922	2619	218
923	2622	215
924	2625	212
925	2628	210
926	2631	207
927	2633	204
928	2636	201
929	2639	198
930	2641	195
931	2644	192
932	2647	190
933	2650	187
934	2652	184
935	2655	181
936	2658	178
937	2660	175
938	2663	173
939	2666	170
940	2671	167
941	2674	164
942	2676	161
943	2679	158
944	2682	156
945	2686	153
946	2689	150
947	2691	147
948	2694	144
949	2697	141
950	2699	139
951	2702	136
952	2705	133
953	2708	130
954	2710	127
955	2713	124
956	2716	122
957	2719	119
958	2721	116
959	2724	113
960	2727	110
961	2729	107
962	2732	104
963	2735	102
964	2737	99
965	2740	96
966	2743	93
967	2745	90
968	2748	87
969	2751	85
970	2753	82
971	2756	79
972	2760	76
973	2763	73
974	2766	70
975	2768	68
976	2771	65
977	2774	62
978	2776	59
979	2779	56
980	2782	53
981	2784	51
982	2787	48
983	2790	45
984	2793	42
985	2795	39
986	2798	36
987	2801	34
988	2804	31
989	2806	28
990	2809	25
991	2812	22
992	2814	19
993	2817	17
994	2820	14
995	2822	11
996	2825	8
997	2827	5
998	2830	2
999	2833	0
